id,nombre,escala,scenario,scenario_label,rank
C086,LA ESTRELLA,Comunal,ponderacion_rmc,RMC,23
C086,LA ESTRELLA,Comunal,balanceado,Balanceado,22
C086,LA ESTRELLA,Comunal,equidad,Equidad,40
C086,LA ESTRELLA,Comunal,demanda,Demanda,21
C086,LA ESTRELLA,Comunal,ciclistas_biogeme,Logit,23
C086,LA ESTRELLA,Comunal,fractal_alameda,Fractal,22
C086,LA ESTRELLA,Comunal,continuidad,Continuidad,21
C086,LA ESTRELLA,Comunal,eficiencia,Eficiencia,22
C086,LA ESTRELLA,Comunal,educacion,Educación,21
C086,LA ESTRELLA,Comunal,integracion,Integración,22
C086,LA ESTRELLA,Comunal,seguridad,Seguridad,24
C086,LA ESTRELLA,Comunal,intermodal,Intermodal,22
EP-I33,LA CHIMBA,Intercomunal,ponderacion_rmc,RMC,22
EP-I33,LA CHIMBA,Intercomunal,balanceado,Balanceado,21
EP-I33,LA CHIMBA,Intercomunal,equidad,Equidad,29
EP-I33,LA CHIMBA,Intercomunal,demanda,Demanda,22
EP-I33,LA CHIMBA,Intercomunal,ciclistas_biogeme,Logit,21
EP-I33,LA CHIMBA,Intercomunal,fractal_alameda,Fractal,21
EP-I33,LA CHIMBA,Intercomunal,continuidad,Continuidad,22
EP-I33,LA CHIMBA,Intercomunal,eficiencia,Eficiencia,52
EP-I33,LA CHIMBA,Intercomunal,educacion,Educación,22
EP-I33,LA CHIMBA,Intercomunal,integracion,Integración,23
EP-I33,LA CHIMBA,Intercomunal,seguridad,Seguridad,21
EP-I33,LA CHIMBA,Intercomunal,intermodal,Intermodal,21
I25,SAN FRANCISCO,Intercomunal,ponderacion_rmc,RMC,20
I25,SAN FRANCISCO,Intercomunal,balanceado,Balanceado,17
I25,SAN FRANCISCO,Intercomunal,equidad,Equidad,18
I25,SAN FRANCISCO,Intercomunal,demanda,Demanda,15
I25,SAN FRANCISCO,Intercomunal,ciclistas_biogeme,Logit,5
I25,SAN FRANCISCO,Intercomunal,fractal_alameda,Fractal,17
I25,SAN FRANCISCO,Intercomunal,continuidad,Continuidad,25
I25,SAN FRANCISCO,Intercomunal,eficiencia,Eficiencia,113
I25,SAN FRANCISCO,Intercomunal,educacion,Educación,9
I25,SAN FRANCISCO,Intercomunal,integracion,Integración,21
I25,SAN FRANCISCO,Intercomunal,seguridad,Seguridad,25
I25,SAN FRANCISCO,Intercomunal,intermodal,Intermodal,23
C089,J J PEREZ,Comunal,ponderacion_rmc,RMC,25
C089,J J PEREZ,Comunal,balanceado,Balanceado,23
C089,J J PEREZ,Comunal,equidad,Equidad,19
C089,J J PEREZ,Comunal,demanda,Demanda,24
C089,J J PEREZ,Comunal,ciclistas_biogeme,Logit,40
C089,J J PEREZ,Comunal,fractal_alameda,Fractal,23
C089,J J PEREZ,Comunal,continuidad,Continuidad,23
C089,J J PEREZ,Comunal,eficiencia,Eficiencia,19
C089,J J PEREZ,Comunal,educacion,Educación,32
C089,J J PEREZ,Comunal,integracion,Integración,24
C089,J J PEREZ,Comunal,seguridad,Seguridad,30
C089,J J PEREZ,Comunal,intermodal,Intermodal,28
C046,EUCALIPTOS,Comunal,ponderacion_rmc,RMC,26
C046,EUCALIPTOS,Comunal,balanceado,Balanceado,24
C046,EUCALIPTOS,Comunal,equidad,Equidad,20
C046,EUCALIPTOS,Comunal,demanda,Demanda,26
C046,EUCALIPTOS,Comunal,ciclistas_biogeme,Logit,41
C046,EUCALIPTOS,Comunal,fractal_alameda,Fractal,24
C046,EUCALIPTOS,Comunal,continuidad,Continuidad,24
C046,EUCALIPTOS,Comunal,eficiencia,Eficiencia,20
C046,EUCALIPTOS,Comunal,educacion,Educación,33
C046,EUCALIPTOS,Comunal,integracion,Integración,25
C046,EUCALIPTOS,Comunal,seguridad,Seguridad,31
C046,EUCALIPTOS,Comunal,intermodal,Intermodal,29
I29,SANTA ROSA,Intercomunal,ponderacion_rmc,RMC,33
I29,SANTA ROSA,Intercomunal,balanceado,Balanceado,32
I29,SANTA ROSA,Intercomunal,equidad,Equidad,14
I29,SANTA ROSA,Intercomunal,demanda,Demanda,28
I29,SANTA ROSA,Intercomunal,ciclistas_biogeme,Logit,24
I29,SANTA ROSA,Intercomunal,fractal_alameda,Fractal,29
I29,SANTA ROSA,Intercomunal,continuidad,Continuidad,32
I29,SANTA ROSA,Intercomunal,eficiencia,Eficiencia,29
I29,SANTA ROSA,Intercomunal,educacion,Educación,30
I29,SANTA ROSA,Intercomunal,integracion,Integración,32
I29,SANTA ROSA,Intercomunal,seguridad,Seguridad,20
I29,SANTA ROSA,Intercomunal,intermodal,Intermodal,27
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,ponderacion_rmc,RMC,27
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,balanceado,Balanceado,25
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,equidad,Equidad,21
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,demanda,Demanda,27
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,ciclistas_biogeme,Logit,42
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,fractal_alameda,Fractal,25
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,continuidad,Continuidad,26
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,eficiencia,Eficiencia,21
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,educacion,Educación,34
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,integracion,Integración,26
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,seguridad,Seguridad,32
C052,BAQUEDANO - POSTALES ORIENTE,Comunal,intermodal,Intermodal,30
C035,PRODIVENCIA,Comunal,ponderacion_rmc,RMC,28
C035,PRODIVENCIA,Comunal,balanceado,Balanceado,26
C035,PRODIVENCIA,Comunal,equidad,Equidad,24
C035,PRODIVENCIA,Comunal,demanda,Demanda,29
C035,PRODIVENCIA,Comunal,ciclistas_biogeme,Logit,54
C035,PRODIVENCIA,Comunal,fractal_alameda,Fractal,49
C035,PRODIVENCIA,Comunal,continuidad,Continuidad,27
C035,PRODIVENCIA,Comunal,eficiencia,Eficiencia,25
C035,PRODIVENCIA,Comunal,educacion,Educación,38
C035,PRODIVENCIA,Comunal,integracion,Integración,27
C035,PRODIVENCIA,Comunal,seguridad,Seguridad,27
C035,PRODIVENCIA,Comunal,intermodal,Intermodal,25
C063,LONGITUDINAL,Comunal,ponderacion_rmc,RMC,29
C063,LONGITUDINAL,Comunal,balanceado,Balanceado,27
C063,LONGITUDINAL,Comunal,equidad,Equidad,34
C063,LONGITUDINAL,Comunal,demanda,Demanda,20
C063,LONGITUDINAL,Comunal,ciclistas_biogeme,Logit,29
C063,LONGITUDINAL,Comunal,fractal_alameda,Fractal,84
C063,LONGITUDINAL,Comunal,continuidad,Continuidad,31
C063,LONGITUDINAL,Comunal,eficiencia,Eficiencia,24
C063,LONGITUDINAL,Comunal,educacion,Educación,20
C063,LONGITUDINAL,Comunal,integracion,Integración,28
C063,LONGITUDINAL,Comunal,seguridad,Seguridad,28
C063,LONGITUDINAL,Comunal,intermodal,Intermodal,26
C060,ROJAS MAGALLANES,Comunal,ponderacion_rmc,RMC,34
C060,ROJAS MAGALLANES,Comunal,balanceado,Balanceado,30
C060,ROJAS MAGALLANES,Comunal,equidad,Equidad,25
C060,ROJAS MAGALLANES,Comunal,demanda,Demanda,35
C060,ROJAS MAGALLANES,Comunal,ciclistas_biogeme,Logit,34
C060,ROJAS MAGALLANES,Comunal,fractal_alameda,Fractal,32
C060,ROJAS MAGALLANES,Comunal,continuidad,Continuidad,35
C060,ROJAS MAGALLANES,Comunal,eficiencia,Eficiencia,27
C060,ROJAS MAGALLANES,Comunal,educacion,Educación,28
C060,ROJAS MAGALLANES,Comunal,integracion,Integración,35
C060,ROJAS MAGALLANES,Comunal,seguridad,Seguridad,35
C060,ROJAS MAGALLANES,Comunal,intermodal,Intermodal,34
C006,DOMINGO TOCORNAL,Comunal,ponderacion_rmc,RMC,40
C006,DOMINGO TOCORNAL,Comunal,balanceado,Balanceado,36
